abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,corruption,severity

# afmsmlearner

0.2635777029335607,6.649083655023315,19.33351737055285,0.32224004000371254,0.5206378472730354,0.8382148413888901,0.9599262071898579,gaussian_noise,1
0.38914723064202794,14.654909772578687,28.24703681620409,0.4519908598027515,0.3721575702720057,0.6696343505986511,0.8601217107970873,gaussian_noise,2
0.5675501842896865,29.82995337193761,39.59359866867481,0.6288578791540461,0.25429537148325987,0.48814251369085454,0.689303399332234,gaussian_noise,3
0.7497316333862485,47.820338292476706,49.42168978987069,0.831439456035351,0.17735935039431813,0.3523070973280318,0.5287069261746731,gaussian_noise,4
0.9184502762372178,65.58409410812462,57.36145679314643,1.0891248411794756,0.12445168099462878,0.25318627200395927,0.39914846254522235,gaussian_noise,5
0.1191369341060979,1.6997442066115065,9.732887767404048,0.1608251836624152,0.851421555964213,0.9714441375548296,0.9920095093583388,shot_noise,1
0.12537080569094733,1.8278701511666369,10.100912013417364,0.16796141986594876,0.8381041686645317,0.968370336921698,0.9910250240892079,shot_noise,2
0.13649066408484253,2.0749416767861253,10.774341988909699,0.18023068272253454,0.8116264809645295,0.963551225208957,0.9900292797755368,shot_noise,3
0.154794586474201,2.770001724808597,12.243930956629356,0.20225888927435054,0.7747700836238917,0.9450388043627836,0.9861228041406542,shot_noise,4
0.17211633166146148,3.7655202975047044,13.881863766919464,0.22171198042234685,0.7530392875246736,0.9306079119706823,0.97745956894353,shot_noise,5
0.7447168491713149,47.48209460028286,49.26219216016157,0.8442007847360171,0.18184599975965274,0.35970238745954075,0.5357934772263222,impulse_noise,1
0.8491433012939841,57.70065412850216,54.12314483171799,1.031580731894706,0.14367564069792688,0.28943177360364797,0.4467348443873909,impulse_noise,2
0.9005039121191645,62.63009169313739,56.338770310805195,1.169440281153158,0.12666250968395604,0.25779490029415003,0.40510663209500325,impulse_noise,3
0.953845354801081,66.9790353930797,58.41256306089204,1.4131020883034016,0.10749658692093891,0.22169427117580554,0.35789447777906574,impulse_noise,4
0.9718867041670908,67.26190505399894,58.79372687088816,1.6064737327734917,0.09716823920722219,0.20265191092060805,0.3333544926590359,impulse_noise,5
0.09996109744178946,1.3026262096377823,8.424738692718062,0.13571495859598076,0.8870024365076556,0.9813898669109713,0.9964264180284776,defocus_blur,1
0.09996109744178946,1.3026262096377823,8.424738692718062,0.13571495859598076,0.8870024365076556,0.9813898669109713,0.9964264180284776,defocus_blur,2
0.09996109744178946,1.3026262096377823,8.424738692718062,0.13571495859598076,0.8870024365076556,0.9813898669109713,0.9964264180284776,defocus_blur,3
0.10008647889169288,1.3048396707493846,8.43161864678786,0.13589142749048838,0.8865364400445891,0.9813260474047638,0.996426291695325,defocus_blur,4
0.09996440569902289,1.3023581380521483,8.424324183412127,0.13572554727390868,0.8870252182737707,0.9813898539550703,0.9964264180284776,defocus_blur,5
0.1000642947778241,1.3042853699959882,8.430014927460796,0.13585980869694436,0.8866399282000518,0.9813411094765736,0.996426361199523,glass_blur,1
0.09995585079296422,1.302332540784714,8.423870272731607,0.13571931038410176,0.8870163028109949,0.9813898604330208,0.9964264180284776,glass_blur,2
0.10020239953756224,1.306633982766832,8.438837793691189,0.13601747500674694,0.8860446918505486,0.9813128334856878,0.9964262965259751,motion_blur,1
0.10002604851029313,1.3035319529020797,8.428119425332264,0.13581048409892296,0.8867200922944519,0.9813522609008174,0.9964263521776028,motion_blur,2
0.09996109744178946,1.3026262096377823,8.424738692718062,0.13571495859598076,0.8870024365076556,0.9813898669109713,0.9964264180284776,motion_blur,3
0.09996109744178946,1.3026262096377823,8.424738692718062,0.13571495859598076,0.8870024365076556,0.9813898669109713,0.9964264180284776,motion_blur,4
0.09997792562601679,1.302597935674898,8.42644544673269,0.13575455451725615,0.8869405245974292,0.9813873373122497,0.9964264229505654,motion_blur,5
0.1008882742077653,1.3183298283941138,8.49384570078495,0.13721944780482787,0.8838306958280864,0.9810807834480383,0.9962579773567675,zoom_blur,1
0.1005202084678325,1.3113117381632868,8.46299859551466,0.13665755255698833,0.8847563560615529,0.9811118015744288,0.9963505956737009,zoom_blur,2
0.10038347896222302,1.3089319645324062,8.453810793518372,0.1364690731237296,0.8849073362516523,0.9812517445594992,0.9964174100263887,zoom_blur,3
0.10020591803368337,1.3055429712526108,8.440709751660508,0.13617024134959477,0.8856802558146716,0.9812737798043185,0.9964238503761983,zoom_blur,4
0.10013344109450516,1.3043902108881846,8.436092750563162,0.1360621529000857,0.8859850727547742,0.9812880618040626,0.9964239417620753,zoom_blur,5
0.3918309649841322,20.06322384053696,32.14677640357597,0.41802095290537106,0.5013897037675443,0.7764547905876665,0.8848149298585759,snow,1
0.3912088133786854,20.21473371571508,32.09513870557726,0.41605619326260906,0.5166113752482749,0.7801945770805285,0.8840959527712089,snow,2
0.3098782560570054,15.519715612034183,28.208960509776205,0.35879536409830226,0.6552407983762595,0.8394061705552632,0.9137305328232579,snow,3
0.26408795666240303,12.394896877439399,25.201580788392555,0.3226071251877423,0.7137977759794223,0.871186018193344,0.9320968590933059,snow,4
0.181863471865654,5.340752256909105,16.762703096369002,0.23769778446607062,0.7802292707808086,0.9281660738877738,0.9714983253021741,snow,5
0.1285887213183834,2.263638188694004,10.845884362063261,0.17306138199167545,0.8519022675613117,0.9641118786333408,0.9890154845520212,frost,1
0.12267098563322679,2.1794866438001774,10.572914672849832,0.16761708917424165,0.8672223534704335,0.9669165177392844,0.9891124826151717,frost,2
